"provinsi","kabupaten","kecamatan","kelurahan","no_tps","suara_1","suara_2","suara_3","golput"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MLIRIPROWO","1","161","698","37","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MLIRIPROWO","2","359","20","56","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MLIRIPROWO","3","27","174","66","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MLIRIPROWO","4","363","50","19","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MLIRIPROWO","5","73","74","18","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDUNGBOCOK","1","104","382","384","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDUNGBOCOK","2","53","446","242","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDUNGBOCOK","3","49","61","27","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KEDUNGBOCOK","4","161","13","28","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SINGOGALIH","1","101","195","33","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SINGOGALIH","2","64","360","60","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SINGOGALIH","3","276","138","2","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SINGOGALIH","4","61","201","103","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SINGOGALIH","5","394","389","58","9"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SINGOGALIH","6","258","53","248","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","SINGOGALIH","7","256","178","152","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","TARIK","1","20","119","79","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","TARIK","2","447","195","46","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","TARIK","3","127","325","284","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","TARIK","4","398","7","33","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","TARIK","5","152","5","60","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","TARIK","6","12","131","58","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","TARIK","7","240","147","94","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOBENER","1","58","133","117","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOBENER","2","154","259","231","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOBENER","3","74","312","303","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOBENER","4","202","132","282","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOBENER","5","255","9","45","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOBENER","6","92","64","216","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOSARI","1","438","51","162","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOSARI","2","309","163","44","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOSARI","3","199","74","122","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOSARI","4","163","34","71","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","MERGOSARI","5","100","292","89","6"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KENDALSEWU","1","333","291","59","4"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KENDALSEWU","2","69","914","6","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KENDALSEWU","3","340","33","12","2"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KENDALSEWU","4","222","100","77","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KLANTINGSARI","1","54","408","158","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KLANTINGSARI","2","142","110","134","5"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KLANTINGSARI","3","387","13","151","0"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KLANTINGSARI","4","195","209","103","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KALIMATI","1","45","78","66","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KALIMATI","2","82","108","156","3"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KALIMATI","3","209","2","157","1"
"PROVINSI JAWA TIMUR","SIDOARJO","TARIK","KALIMATI","4","89","23","127","0"
