Sample (%),Error Suara 1,Error Suara 2,Error Suara 3,Error Golput
5,14.08495711069368,17.62751435028661,5.38782528567053,0.8009759103911251
10,10.816424551321047,13.84352038342061,4.566516717699166,5.466594546040839
15,8.050284990176248,5.703842029521727,4.419071018474103,7.354932814816704
20,5.061831671455797,3.16077159773658,3.6487943294204324,12.995153640315309
25,6.022349566445406,5.169252623736427,1.854282124220666,9.368234988542394
30,6.114831150897229,4.810114630392738,2.552746597383907,5.679552817881494
35,2.893593466187276,1.4851369007172215,2.562438143621684,3.7959713377148394
40,1.4368738106055226,1.1802891179651978,0.5800595711069721,4.884836602788072
45,0.5808699217422083,0.6921394650765562,0.0597610731784188,5.736221850389442
50,2.0627728639900926,2.0493986567242053,0.02916791651326329,4.252094839250353
55,1.6705060132536027,2.284598012784299,1.0080427155870446,2.2102804609868065
60,1.9260193669023635,2.087018915630887,0.2616354699694806,3.763460573108248
65,0.764088959339377,0.8534033276550645,0.20304901263418634,4.591719801559825
70,0.4045377153846679,0.6436891747589617,0.4190821874054048,1.76842499045007
75,0.025453966451838343,0.4567722107008108,0.7506036009408887,1.3263944566805368
80,0.0962958682774938,0.5330609708726387,1.0714878466940154,0.3303513703857613
85,0.2692622526172838,0.1134220262604778,0.6585667871623065,0.11672099146834065
90,0.2544630532311471,0.12680822402286843,0.22067178642837726,0.27508073572084946
95,0.10445131404888326,0.32750053772278553,0.7283114049016367,0.24917284840900544
